Period	LjungBox_pval	SeasonalStrength	TrendStrength
601	0.000000	0.044856	0.719483
602	0.000000	0.044269	0.720436
603	0.000000	0.046242	0.721043
604	0.000000	0.048747	0.720415
605	0.000000	0.048067	0.720231
606	0.000000	0.050099	0.721282
607	0.000000	0.045749	0.720179
608	0.000000	0.043863	0.720798
609	0.000000	0.045780	0.722178
610	0.000000	0.045990	0.723682
611	0.000000	0.047226	0.725827
612	0.000000	0.052318	0.729524
613	0.000000	0.054263	0.730733
614	0.000000	0.053076	0.731417
615	0.000000	0.053628	0.732846
616	0.000000	0.054056	0.735200
617	0.000000	0.057227	0.737249
618	0.000000	0.061440	0.739479
619	0.000000	0.064292	0.740754
620	0.000000	0.067358	0.741473
621	0.000000	0.070111	0.741814
622	0.000000	0.070543	0.741611
623	0.000000	0.069828	0.741932
624	0.000000	0.067809	0.741648
625	0.000000	0.064441	0.742477
626	0.000000	0.065248	0.744122
627	0.000000	0.070926	0.746561
628	0.000000	0.071564	0.748806
629	0.000000	0.070109	0.748831
630	0.000000	0.068493	0.749069
631	0.000000	0.069152	0.748652
632	0.000000	0.072794	0.749160
633	0.000000	0.083427	0.751060
634	0.000000	0.098518	0.756003
635	0.000000	0.108148	0.758898
636	0.000000	0.115213	0.760789
637	0.000000	0.120423	0.762372
638	0.000000	0.129986	0.764717
639	0.000000	0.130515	0.765808
640	0.000000	0.136571	0.769371
641	0.000000	0.139303	0.769033
642	0.000000	0.139266	0.768345
643	0.000000	0.140374	0.768818
644	0.000000	0.135400	0.767039
645	0.000000	0.134627	0.767768
646	0.000000	0.131335	0.765637
647	0.000000	0.132646	0.765371
648	0.000000	0.132053	0.764127
649	0.000000	0.128692	0.760146
650	0.000000	0.130085	0.759318
651	0.000000	0.132238	0.757941
652	0.000000	0.133524	0.756582
653	0.000000	0.137249	0.755938
654	0.000000	0.144410	0.759852
655	0.000000	0.143572	0.757832
656	0.000000	0.145804	0.756764
657	0.000000	0.148593	0.755871
658	0.000000	0.159823	0.757962
659	0.000000	0.160263	0.757014
660	0.000000	0.161612	0.755443
661	0.000000	0.165650	0.756316
662	0.000000	0.164816	0.757288
663	0.000000	0.162915	0.757143
664	0.000000	0.160218	0.756184
665	0.000000	0.174877	0.760468
666	0.000000	0.184922	0.764697
667	0.000000	0.188455	0.764577
668	0.000000	0.184353	0.762405
669	0.000000	0.187105	0.763523
670	0.000000	0.189148	0.764250
671	0.000000	0.192640	0.764874
672	0.000000	0.191827	0.763956
673	0.000000	0.188182	0.761534
674	0.000000	0.190422	0.759937
675	0.000000	0.188109	0.759360
676	0.000000	0.192790	0.759591
677	0.000000	0.196378	0.759642
678	0.000000	0.198562	0.759178
679	0.000000	0.196943	0.758198
680	0.000000	0.200314	0.756628
681	0.000000	0.199822	0.757123
682	0.000000	0.207810	0.758306
683	0.000000	0.202231	0.753825
684	0.000000	0.196785	0.751529
685	0.000000	0.198256	0.750124
686	0.000000	0.195495	0.746915
687	0.000000	0.189505	0.743527
688	0.000000	0.187817	0.738759
689	0.000000	0.182604	0.735295
690	0.000000	0.182720	0.733586
691	0.000000	0.184738	0.734576
692	0.000000	0.180723	0.734340
693	0.000000	0.183848	0.736176
694	0.000000	0.187749	0.736839
695	0.000000	0.186334	0.736626
696	0.000000	0.187440	0.737829
697	0.000000	0.190599	0.738340
698	0.000000	0.195347	0.739218
699	0.000000	0.198344	0.740282
