Period	LjungBox_pval	SeasonalStrength	TrendStrength
589	0.076335	0.106076	0.000042
590	0.135939	0.126378	0.000553
591	0.160654	0.136157	0.000000
592	0.004722	0.135751	0.001216
593	0.052544	0.177190	0.002862
594	0.065712	0.127775	0.001191
595	0.101469	0.159386	0.000230
596	0.561800	0.159663	0.000000
597	0.000707	0.159163	0.000429
598	0.070064	0.171811	0.000850
599	0.116863	0.104268	0.001484
600	0.050988	0.135233	0.001350
601	0.243727	0.165698	0.000962
602	0.004312	0.160742	0.001433
603	0.000038	0.150151	0.000000
604	0.039471	0.141932	0.001709
605	0.000655	0.101738	0.000250
606	0.129060	0.152364	0.000628
607	0.000695	0.124525	0.001185
608	0.293298	0.145969	0.000911
609	0.001481	0.127808	0.000822
610	0.220037	0.116680	0.000995
611	0.018227	0.131855	0.001677
612	0.011910	0.143014	0.001825
613	0.001010	0.126781	0.000893
614	0.049509	0.187598	0.001008
615	0.279454	0.175829	0.001504
616	0.471992	0.135537	0.001463
617	0.068919	0.162914	0.001844
618	0.003384	0.137268	0.002053
619	0.715833	0.125242	0.001276
620	0.064224	0.140692	0.000496
621	0.032066	0.158827	0.000000
622	0.000306	0.164551	0.001884
623	0.128488	0.189393	0.000797
624	0.157762	0.143361	0.001318
625	0.011665	0.152148	0.001598
626	0.004374	0.133109	0.001039
627	0.000002	0.122099	0.001190
628	0.015030	0.110204	0.001317
629	0.023499	0.143956	0.000132
630	0.004472	0.143463	0.000931
631	0.026122	0.159878	0.000000
632	0.000006	0.151171	0.001904
633	0.026738	0.124182	0.000000
634	0.762984	0.164562	0.001933
635	0.021929	0.125984	0.001792
636	0.000395	0.169134	0.000695
637	0.150334	0.149262	0.001269
638	0.271282	0.114744	0.001027
639	0.175057	0.121169	0.001398
640	0.017458	0.182594	0.001266
641	0.000013	0.137480	0.001169
642	0.244893	0.172699	0.001325
643	0.026951	0.171863	0.001181
644	0.048497	0.129234	0.001274
645	0.036159	0.165905	0.000436
646	0.511702	0.182699	0.000602
647	0.130363	0.151393	0.000000
648	0.076492	0.173797	0.000601
649	0.628122	0.129799	0.001052
650	0.016339	0.171962	0.001026
651	0.001241	0.140861	0.001463
652	0.039789	0.142727	0.001487
653	0.035849	0.123048	0.000756
654	0.335875	0.192632	0.000786
655	0.006612	0.158545	0.001263
656	0.017349	0.151799	0.000938
657	0.151049	0.155432	0.000117
658	0.090793	0.135016	0.001358
659	0.024528	0.152406	0.001446
660	0.004307	0.165866	0.000000
661	0.004457	0.150724	0.001719
662	0.753628	0.156002	0.000541
663	0.016025	0.175121	0.000847
664	0.169584	0.136931	0.000000
665	0.005620	0.152241	0.002007
666	0.023159	0.136731	0.001303
667	0.000322	0.144358	0.000997
668	0.129282	0.138419	0.001641
669	0.000140	0.158520	0.000743
670	0.076563	0.148182	0.001404
671	0.000002	0.154192	0.000743
672	0.034875	0.175722	0.001359
673	0.003920	0.130583	0.001073
674	0.014077	0.179724	0.001070
675	0.007398	0.119105	0.000998
676	0.796151	0.160754	0.001899
677	0.012974	0.182428	0.000279
678	0.435708	0.190763	0.000792
679	0.000012	0.149109	0.002526
680	0.702641	0.176299	0.000000
681	0.000270	0.154676	0.001145
682	0.000007	0.197681	0.001165
683	0.026144	0.118395	0.000677
684	0.068650	0.144040	0.000486
685	0.001768	0.115254	0.001246
686	0.004638	0.168540	0.001314
687	0.001678	0.152811	0.002196
688	0.233039	0.132599	0.000880
689	0.112598	0.168181	0.001265
690	0.715937	0.141963	0.001681
691	0.026319	0.160062	0.001088
692	0.003384	0.160697	0.000975
693	0.002255	0.166265	0.000645
694	0.132309	0.142371	0.001442
695	0.000105	0.160471	0.001368
696	0.000162	0.152372	0.001635
697	0.060963	0.137737	0.001426
698	0.240805	0.155457	0.000960
699	0.029172	0.171726	0.001793
